date,Israel_driving,Israel_walking
2020-01-13,100.0,100.0
2020-01-14,102.65,101.98
2020-01-15,102.91,104.91
2020-01-16,112.6,121.5
2020-01-17,85.85,86.39
2020-01-18,90.93,82.07
2020-01-19,96.24,80.85
2020-01-20,95.49,84.88
2020-01-21,100.28,81.95
2020-01-22,99.96,99.01
2020-01-23,106.01,108.37
2020-01-24,80.56,80.64
2020-01-25,91.75,85.31
2020-01-26,100.63,97.66
2020-01-27,98.91,96.74
2020-01-28,99.18,98.84
2020-01-29,99.96,98.81
2020-01-30,106.8,113.02
2020-01-31,82.63,88.92
2020-02-01,91.83,78.1
2020-02-02,105.09,98.42
2020-02-03,99.37,96.66
2020-02-04,99.0,97.39
2020-02-05,98.11,97.2
2020-02-06,109.61,117.82
2020-02-07,81.78,83.59
2020-02-08,87.9,70.27
2020-02-09,98.26,90.08
2020-02-10,103.06,96.19
2020-02-11,103.71,100.42
2020-02-12,110.16,113.38
2020-02-13,124.07,135.79
2020-02-14,102.57,117.4
2020-02-15,112.53,106.47
2020-02-16,111.74,108.05
2020-02-17,112.46,114.34
2020-02-18,113.76,116.67
2020-02-19,106.5,98.66
2020-02-20,125.17,133.22
2020-02-21,103.55,114.74
2020-02-22,100.16,95.16
2020-02-23,112.64,110.63
2020-02-24,110.16,109.24
2020-02-25,113.75,111.03
2020-02-26,110.88,114.56
2020-02-27,124.42,143.74
2020-02-28,100.19,121.7
2020-02-29,96.91,89.6
2020-03-01,113.45,125.46
2020-03-02,119.92,156.89
2020-03-03,104.73,112.06
2020-03-04,105.8,111.92
2020-03-05,110.9,126.62
2020-03-06,83.08,96.73
2020-03-07,91.15,95.02
2020-03-08,102.68,117.09
2020-03-09,104.92,136.92
2020-03-10,99.57,120.62
2020-03-11,91.09,99.26
2020-03-12,73.96,72.54
2020-03-13,49.51,45.74
2020-03-14,53.12,48.75
2020-03-15,62.36,59.38
2020-03-16,62.01,59.39
2020-03-17,43.3,31.9
2020-03-18,38.28,30.67
2020-03-19,36.98,28.44
2020-03-20,25.79,18.87
2020-03-21,29.13,23.3
2020-03-22,40.04,31.77
2020-03-23,39.23,33.54
2020-03-24,41.29,38.82
2020-03-25,41.27,44.87
2020-03-26,35.53,30.37
2020-03-27,26.03,24.13
2020-03-28,26.94,23.68
2020-03-29,36.18,27.74
2020-03-30,34.92,27.93
2020-03-31,33.99,26.4
2020-04-01,34.55,25.02
2020-04-02,36.53,27.48
2020-04-03,26.88,21.9
2020-04-04,27.74,22.87
2020-04-05,42.06,28.63
2020-04-06,45.65,31.95
2020-04-07,43.95,33.68
2020-04-08,20.78,17.78
2020-04-09,22.25,19.78
2020-04-10,25.6,19.79
2020-04-11,29.77,23.75
2020-04-12,43.85,32.28
2020-04-13,42.17,35.2
2020-04-14,28.91,24.74
2020-04-15,27.46,23.93
2020-04-16,44.25,37.62
2020-04-17,35.64,32.06
2020-04-18,39.44,37.64
2020-04-19,52.23,45.84
2020-04-20,49.3,40.92
2020-04-21,52.6,41.39
2020-04-22,55.38,42.49
2020-04-23,57.09,48.41
2020-04-24,36.2,31.87
2020-04-25,42.11,37.95
2020-04-26,60.76,52.92
2020-04-27,53.28,45.27
2020-04-28,41.87,39.05
2020-04-29,36.26,35.01
2020-04-30,61.72,56.47
2020-05-01,47.36,43.47
2020-05-02,52.59,48.44
2020-05-03,69.01,61.45
2020-05-04,67.59,60.85
2020-05-05,62.61,51.98
2020-05-06,73.41,65.32
2020-05-07,76.95,70.82
2020-05-08,58.16,50.39
2020-05-09,63.4,53.6
2020-05-10,77.41,70.83
2020-05-13,82.82,68.28
2020-05-14,90.21,75.25
2020-05-15,68.6,52.61
2020-05-16,73.33,51.97
2020-05-17,83.92,62.79
2020-05-18,81.9,62.91
2020-05-19,84.26,60.99
2020-05-20,87.23,64.97
2020-05-21,100.75,77.06
2020-05-22,82.21,63.78
2020-05-23,84.82,62.76
2020-05-24,90.31,71.56
2020-05-25,104.5,80.8
2020-05-26,107.74,82.91
2020-05-27,107.52,92.17
2020-05-28,84.48,62.25
2020-05-29,81.23,61.39
2020-05-30,95.54,70.59
2020-05-31,99.22,79.7
2020-06-01,99.92,86.38
2020-06-02,98.46,82.93
2020-06-03,99.59,84.92
2020-06-04,115.31,103.96
2020-06-05,95.04,80.27
2020-06-06,98.58,81.61
2020-06-07,102.6,84.18
2020-06-08,102.12,85.87
2020-06-09,104.55,86.65
2020-06-10,109.13,91.02
2020-06-11,125.8,111.87
2020-06-12,97.42,87.5
2020-06-13,100.29,76.49
2020-06-14,106.42,86.25
2020-06-15,108.76,89.21
2020-06-16,105.81,90.89
2020-06-17,103.49,87.99
