id,Favorite_Color,HipHop,Pop,RNB,Rock
200,Cool,0,0,0,1
201,Neutral,1,0,0,0
202,Warm,0,0,0,1
204,Cool,0,0,0,1
206,Cool,0,1,0,0
207,Warm,0,1,0,0
208,Warm,0,0,0,1
209,Neutral,0,1,0,0
210,Cool,0,1,0,0
211,Warm,0,1,0,0
212,Warm,0,1,0,0
213,Warm,0,0,0,0
214,Cool,0,0,0,1
217,Cool,0,0,0,1
218,Cool,0,0,0,1
219,Cool,0,1,0,0
220,Cool,0,1,0,0
222,Cool,0,0,0,1
223,Warm,0,1,0,0
225,Warm,0,0,1,0
226,Cool,0,1,0,0
227,Cool,0,1,0,0
228,Cool,0,1,0,0
229,Cool,0,0,0,0
230,Warm,0,0,0,1
231,Neutral,0,0,0,1
232,Cool,0,0,1,0
234,Neutral,1,0,0,0
235,Warm,0,0,0,0
236,Neutral,0,0,0,1
237,Cool,0,1,0,0
238,Cool,0,1,0,0
239,Warm,0,0,0,1
240,Cool,0,0,0,1
242,Warm,0,0,1,0
243,Cool,0,0,0,1
245,Cool,1,0,0,0
246,Cool,1,0,0,0
247,Cool,0,0,1,0
248,Cool,0,0,0,1
249,Warm,1,0,0,0
250,Cool,0,0,1,0
251,Cool,0,0,0,1
252,Cool,1,0,0,0
253,Warm,0,0,0,1
254,Cool,0,0,0,0
255,Cool,0,0,0,0
257,Warm,0,0,0,0
259,Cool,0,1,0,0
260,Cool,0,0,0,0
261,Cool,0,0,0,1
262,Cool,1,0,0,0
263,Neutral,1,0,0,0
264,Cool,0,0,0,1
265,Cool,0,0,0,0
