taster_name,title,variety,winery,points
Kerin Oâ€™Keefe,Nicosia 2013 VulkÃ  Bianco  (Etna),White Blend,Nicosia,87
Kerin Oâ€™Keefe,Terre di Giurfo 2013 Belsito Frappato (Vittoria),Frappato,Terre di Giurfo,87
Kerin Oâ€™Keefe,Masseria Setteporte 2012 Rosso  (Etna),Nerello Mascalese,Masseria Setteporte,87
Kerin Oâ€™Keefe,Baglio di Pianetto 2007 Ficiligno White (Sicilia),White Blend,Baglio di Pianetto,87
Kerin Oâ€™Keefe,CanicattÃ¬ 2009 Aynat Nero d'Avola (Sicilia),Nero d'Avola,CanicattÃ¬,87
Kerin Oâ€™Keefe,Stemmari 2013 Dalila White (Terre Siciliane),White Blend,Stemmari,87
Kerin Oâ€™Keefe,Stemmari 2013 Nero d'Avola (Terre Siciliane),Nero d'Avola,Stemmari,87
Kerin Oâ€™Keefe,Terre di Giurfo 2011 Mascaria Barricato  (Cerasuolo di Vittoria),Red Blend,Terre di Giurfo,87
,Duca di Salaparuta 2010 CalanÃ¬ca Nero d'Avola-Merlot Red (Sicilia),Red Blend,Duca di Salaparuta,86
,Duca di Salaparuta 2011 CalanÃ¬ca Grillo-Viognier White (Sicilia),White Blend,Duca di Salaparuta,86
,Feudi del Pisciotto 2010 Missoni Cabernet Sauvignon (Sicilia),Cabernet Sauvignon,Feudi del Pisciotto,86
,Feudi di San Marzano 2011 I Tratturi Primitivo (Puglia),Primitivo,Feudi di San Marzano,86
,Feudo di Santa Tresa 2011 Purato Made With Organic Grapes Nero d'Avola (Sicilia),Nero d'Avola,Feudo di Santa Tresa,86
,Feudo Montoni 2011 Catarratto (Sicilia),Catarratto,Feudo Montoni,86
,Tasca d'Almerita 2011 Sallier de la Tour Inzolia (Sicilia),Inzolia,Tasca d'Almerita,86
,Viticultori Associati Canicatti 2008 Scialo Red (Sicilia),Red Blend,Viticultori Associati Canicatti,86
,Cantine di Dolianova 2010 Dolia  (Monica di Sardegna),Monica,Cantine di Dolianova,85
,Corvo 2010 Rosso Red (Sicilia),Red Blend,Corvo,85
,Tasca d'Almerita 2011 Sallier de la Tour Grillo (Sicilia),Grillo,Tasca d'Almerita,85
Kerin Oâ€™Keefe,Podere dal Nespoli 2015 Prugneto Sangiovese (Romagna),Sangiovese,Podere dal Nespoli,86
